,name
67,"B 68 400009 Bautwala Building,Zakeria Masjid Street,Dongri"
68,"C 69 400002 Siddhesh Apartment,2Nd Khattargalli,Nazvirns Holy,Marine Lines"
69,"C 70 400002 Panchali House,Sadguru Baba Kadam Lane,Dr. M.B Welkar Street,Chirabazar,Marinelines Congested Area"
70,"C 71 400002 1St Floor, Ajanta Guest House Building,Dadi Sheth Agyari Lane,2Nd Fanaswadi, Chira Bazar, Kalbadevi Congested Area"
71,"C 72 400003 5Th Floor, Vivek Building,Kalbadevi Road,Badamwadi,Badamwadi Congested Area"
72,"C 73 400003 Dhobi Bldg,3Rd Kumbharwada,Kumbharwada,Charni Rd Congested Area"
73,"C 74 400003 Bldg No 46,1St Bhoiwada,Bhuleshwar,Charni Road"
74,"C 75 400003 Bldg No 78,Bada Jagdish Mandir,Bhuleshwar,Charni Road"
75,"C 76 400003 Mahavir Mansion,Gulalwadi,Gulalwadi,Charni Road Congested Area"
76,"C 77 400003 Khemakaer Chawl,Fanaswadi,Fanaswadi,Charni Road Congested Area"
77,"C 78 400003 Bldg No 68,Kazi Street,Mandavi Post Office,Charni Road"
78,"C 79 400003 Shriji Bhavan,Gazdar Street,Gazdar Street,Charni Road"
79,"C 80 400003 Madan House,Dr M B Velkar Street,Waka Muhalla,Marine Lines"
80,"C 81 400003 Mithawala Building,Iind Cross Lane,Ghoughari Mohalla,Marine Lines"
81,"C 82 400003 Sighriya Bldg,Ganesh Baug,Near By Vijay Dairy,Charni Road Congested Area"
82,"C 83 400003 Karnatak Mahal,Zaobawadi,Charni Road Congested Area"
83,"C 84 400003 Jamundas Bldg,2 Taki,Charni Road Congested Area"
84,"C 85 400003 Haji Kasam Bldg.,,Charni Road Congested Area"
85,"C 86 400003 Ganesh Bhuvan,2Nd Kumbharwada,Charni Road Congested Area"
86,"C 87 400003 Vyas Bldg,3Rd Kumbharwada,Dr.Mahimtura Marg,Charni Road Congested Area"
87,"C 88 400003 Pravin House,4Th Kumbharwada,Charni Road Congested Area"
88,"C 89 400003 Chandramahal,1St Kumbharwada,Charni Road Congested Area"
89,"C 90 400003 Rangwala Bldg,Isalampura Street,Girgaoan,Charni Road Congested Area"
